Ind,LitSize,Act,Bold,Soc
0+1105,0,440.1824752,1795,923
0+666,0,229.5228089,1657,-994
0+795,0,515.0591516,2474,530
0+797,0,162.1845642,2816,117
0+802,4,22.08507349,231,0
0+818,4,55.73293516,485,35
0+833,7,383.4188856,168,0
0+838,4,626.8240267,88,49
0+840,3,352.1887517,217,11
0+871,4,291.1301053,462,-1030
0+896,5,86.89849629,509,-716
0+941,4,354.7413724,612,17
0+966,4,895.0244561,43,0
0+976,4,487.4201744,2966,1030
0+981,4,468.7420872,200,-1030
0+998,5,177.9510656,57,971
1007+9,0,0,19,1030
1016+9,6,142.6878688,398,461
1047+9,1,129.5926174,81,0
1071+9,5,1092.658886,88,-40
1086+5+9,5,0,147,196
662+9,4,444.6952196,420,0
670+9,0,279.96232,2526,-1030
677+9,5,251.9549116,1310,175
688+9,4,11.47255149,45,-22
772+9,4,67.56160254,1727,-913
801+9,1,263.2102625,2,169
833+9,4,455.0479985,1145,15
851+9,3,500.0191167,1139,940
854+9,2,540.1952908,30,167
856+9,5,1006.716013,759,-5
858+9,4,254.2059286,1285,270
867+9,0,0,3000,0
895+9,4,494.0980986,427,-58
962+9,0,695.4643883,3000,1030
963+9,4,594.5528522,818,313
982+9,6,204.2973625,1566,-134
